,id,country,country_code,country_population,province,county,last_updated,coordinates.latitude,coordinates.longitude,latest.confirmed,latest.deaths,latest.recovered
196,196,US,US,327167434,Texas,"Bosque County, Texas",2021-05-06T16:31:00Z,31.90042609,-97.63441083,1666,33,0
197,197,US,US,327167434,Texas,"Pecos County, Texas",2021-05-06T16:31:00Z,30.781019300000004,-102.7235403,1662,34,0
198,198,US,US,327167434,Texas,"Llano County, Texas",2021-05-06T16:31:00Z,30.70568237,-98.68396033,1656,51,0
199,199,US,US,327167434,Texas,"Houston County, Texas",2021-05-06T16:31:00Z,31.31765234,-95.42240553,1635,52,0
200,200,US,US,327167434,Texas,"Leon County, Texas",2021-05-06T16:31:00Z,31.29646612,-95.99552151,1629,43,0
201,201,US,US,327167434,Texas,"Panola County, Texas",2021-05-06T16:31:00Z,32.16228456,-94.305576,1604,75,0
202,202,US,US,327167434,Texas,"Comanche County, Texas",2021-05-06T16:31:00Z,31.94808524,-98.55824957,1554,51,0
203,203,US,US,327167434,Texas,"Nolan County, Texas",2021-05-06T16:31:00Z,32.30344861,-100.4060445,1533,51,0
204,204,US,US,327167434,Texas,"Gaines County, Texas",2021-05-06T16:31:00Z,32.74072696,-102.6349943,1440,43,0
205,205,US,US,327167434,Texas,"Bandera County, Texas",2021-05-06T16:31:00Z,29.74720281,-99.24626773,1399,27,0
206,206,US,US,327167434,Texas,"Childress County, Texas",2021-05-06T16:31:00Z,34.52925554,-100.2074984,1397,17,0
207,207,US,US,327167434,Texas,"Eastland County, Texas",2021-05-06T16:31:00Z,32.32711371,-98.83236081,1351,48,0
208,208,US,US,327167434,Texas,"Tyler County, Texas",2021-05-06T16:31:00Z,30.77123251,-94.37653537,1318,38,0
209,209,US,US,327167434,Texas,"Runnels County, Texas",2021-05-06T16:31:00Z,31.83113124,-99.97614368,1291,37,0
210,210,US,US,327167434,Texas,"San Jacinto County, Texas",2021-05-06T16:31:00Z,29.29613,-94.78312,1284,36,0
211,211,US,US,327167434,Texas,"Parmer County, Texas",2021-05-06T16:31:00Z,34.53012116,-102.7845351,1269,36,0
212,212,US,US,327167434,Texas,"Duval County, Texas",2021-05-06T16:31:00Z,27.68127828,-98.5088379,1249,41,0
213,213,US,US,327167434,Texas,"Aransas County, Texas",2021-05-06T16:31:00Z,28.24597757,-97.0418175,1248,40,0
214,214,US,US,327167434,Texas,"Camp County, Texas",2021-05-06T16:31:00Z,32.97320594,-94.97857173,1244,42,0
215,215,US,US,327167434,Texas,"Callahan County, Texas",2021-05-06T16:31:00Z,32.29775015,-99.37351041,1187,39,0
216,216,US,US,327167434,Texas,"Ward County, Texas",2021-05-06T16:31:00Z,31.50939264,-103.1023644,1187,24,0
217,217,US,US,327167434,Texas,"Ochiltree County, Texas",2021-05-06T16:31:00Z,36.27858856,-100.8155985,1143,27,0
218,218,US,US,327167434,Texas,"Live Oak County, Texas",2021-05-06T16:31:00Z,29.55403,-98.32868,1129,22,0
219,219,US,US,327167434,Texas,"Somervell County, Texas",2021-05-06T16:31:00Z,32.22232117300007,-97.77429791799996,1078,14,0
220,220,US,US,327167434,Texas,"La Salle County, Texas",2021-05-06T16:31:00Z,28.79219,-96.66958,1051,28,0
221,221,US,US,327167434,Texas,"Clay County, Texas",2021-05-06T16:31:00Z,33.78376172,-98.20894301,1029,16,0
222,222,US,US,327167434,Texas,"Castro County, Texas",2021-05-06T16:31:00Z,34.52999459,-102.2616703,984,32,0
223,223,US,US,327167434,Texas,"Dallam County, Texas",2021-05-06T16:31:00Z,36.27778449,-102.6021265,966,24,0
