state,county,NAME,Doctorate degree ,Professional school degree,Masters degree,Bachelors degree,population_size
45,031,"Darlington County, South Carolina",513,262,2179,5556,46137
45,091,"York County, South Carolina",1266,2518,15747,40021,178788
45,021,"Cherokee County, South Carolina",153,226,1474,3612,38570
45,053,"Jasper County, South Carolina",106,169,1053,2261,20180
45,061,"Lee County, South Carolina",15,56,675,1191,12203
45,001,"Abbeville County, South Carolina",79,77,620,1891,17118
46,085,"Lyman County, South Dakota",1,5,104,370,2360
46,039,"Deuel County, South Dakota",8,46,71,543,3014
06,021,"Glenn County, California",60,175,342,1964,17951
06,007,"Butte County, California",1843,3327,8461,26518,147509
06,031,"Kings County, California",299,1058,2843,9430,92916
06,063,"Plumas County, California",43,161,1087,2141,14479
06,079,"San Luis Obispo County, California",3284,5080,17012,41436,188857
06,019,"Fresno County, California",4669,11054,27427,84769,604137
06,029,"Kern County, California",2951,5222,20953,58968,537799
06,059,"Orange County, California",36910,61323,217133,564720,2168424
06,111,"Ventura County, California",8972,14027,48177,121499,570146
06,009,"Calaveras County, California",229,402,1493,4260,34848
06,101,"Sutter County, California",202,839,2926,7457,62626
06,081,"San Mateo County, California",20860,23033,77549,159607,551290
06,109,"Tuolumne County, California",317,649,2045,5460,41304
06,077,"San Joaquin County, California",2653,5726,19050,60276,467455
06,005,"Amador County, California",190,593,1075,3979,30295
08,095,"Phillips County, Colorado",16,61,126,464,2800
08,007,"Archuleta County, Colorado",82,202,871,2612,10137
08,031,"Denver County, Colorado",10016,21556,66425,153502,508718
08,061,"Kiowa County, Colorado",4,3,56,150,996
08,055,"Huerfano County, Colorado",50,69,213,771,5216
08,009,"Baca County, Colorado",32,18,104,404,2608
08,047,"Gilpin County, Colorado",94,44,526,1284,4923
08,063,"Kit Carson County, Colorado",21,39,299,613,5198
08,051,"Gunnison County, Colorado",158,413,1362,4026,10601
08,079,"Mineral County, Colorado",5,19,88,212,697
08,091,"Ouray County, Colorado",67,162,530,1081,3851
08,115,"Sedgwick County, Colorado",4,12,88,211,1614
08,123,"Weld County, Colorado",1744,2213,13676,36473,196540
08,027,"Custer County, Colorado",63,39,308,830,3812
08,023,"Costilla County, Colorado",13,42,182,302,2793
08,035,"Douglas County, Colorado",3802,6494,35899,82510,221839
08,065,"Lake County, Colorado",122,28,334,1315,5563
08,067,"La Plata County, Colorado",1075,1306,4183,11024,39773
08,097,"Pitkin County, Colorado",263,600,1236,6217,13680
08,105,"Rio Grande County, Colorado",58,120,366,1329,7655
08,011,"Bent County, Colorado",5,2,131,379,4534
08,025,"Crowley County, Colorado",7,18,48,278,3883
08,111,"San Juan County, Colorado",0,0,46,127,485
08,069,"Larimer County, Colorado",7272,4870,31470,63577,226787
08,075,"Logan County, Colorado",72,106,782,2103,15155
08,113,"San Miguel County, Colorado",99,254,645,2595,6049
08,119,"Teller County, Colorado",245,394,2141,4282,18731
08,039,"Elbert County, Colorado",145,310,1638,4471,18326
08,071,"Las Animas County, Colorado",77,84,596,1301,10527
08,073,"Lincoln County, Colorado",36,17,106,359,4117
08,117,"Summit County, Colorado",319,656,2462,8795,23359
08,003,"Alamosa County, Colorado",182,143,682,1402,9619
08,029,"Delta County, Colorado",113,362,1316,3044,22293
08,043,"Fremont County, Colorado",189,379,2150,4102,36942
08,085,"Montrose County, Colorado",191,359,1652,5285,29724
08,087,"Morgan County, Colorado",101,258,829,2028,18401
08,109,"Saguache County, Colorado",31,38,271,727,4829
08,099,"Prowers County, Colorado",33,25,452,915,7774
08,121,"Washington County, Colorado",14,35,117,355,3390
08,049,"Grand County, Colorado",84,336,865,3111,11581
08,089,"Otero County, Colorado",110,134,559,1455,12137
08,014,"Broomfield County, Colorado",1074,1270,7648,16206,46992
10,005,"Sussex County, Delaware",2093,2870,15437,27081,167940
11,001,"District of Columbia, District of Columbia",20906,41447,104526,122380,494116
09,009,"New Haven County, Connecticut",12550,18522,66765,111165,597200
09,003,"Hartford County, Connecticut",8917,19113,76511,132952,623222
47,157,"Shelby County, Tennessee",8796,13794,55176,115885,612601
47,077,"Henderson County, Tennessee",113,86,660,1936,19449
47,089,"Jefferson County, Tennessee",404,409,1765,3787,37994
47,153,"Sequatchie County, Tennessee",129,129,335,1026,10733
47,017,"Carroll County, Tennessee",137,155,1058,2126,19286
47,037,"Davidson County, Tennessee",10081,14652,49246,123838,474362
47,135,"Perry County, Tennessee",6,52,226,354,5571
47,121,"Meigs County, Tennessee",12,65,263,522,8808
47,075,"Haywood County, Tennessee",90,78,449,729,12196
47,125,"Montgomery County, Tennessee",1402,1225,9277,23368,123893
47,061,"Grundy County, Tennessee",103,86,473,578,9408
47,029,"Cocke County, Tennessee",80,207,785,1908,25774
47,041,"DeKalb County, Tennessee",84,107,515,1654,14120
47,101,"Lewis County, Tennessee",43,73,205,561,8471
47,131,"Obion County, Tennessee",61,189,826,2185,21277
47,167,"Tipton County, Tennessee",129,438,2040,4488,41092
47,045,"Dyer County, Tennessee",194,184,1193,2538,25509
47,065,"Hamilton County, Tennessee",2981,5098,21092,52521,253874
47,139,"Polk County, Tennessee",45,120,426,866,12288
47,185,"White County, Tennessee",125,140,588,1458,18790
47,163,"Sullivan County, Tennessee",1550,1723,6895,16862,114478
36,095,"Schoharie County, New York",171,261,1634,2939,22309
36,035,"Fulton County, New York",114,428,2705,3785,38601
36,083,"Rensselaer County, New York",1506,2191,11958,20121,111735
36,033,"Franklin County, New York",187,443,2599,3460,35065
36,081,"Queens County, New York",16075,32357,147639,333189,1645396
36,115,"Washington County, New York",272,493,3189,5281,44992
36,061,"New York County, New York",45807,94435,230115,395691,1249365
36,011,"Cayuga County, New York",320,507,4010,7686,55436
36,087,"Rockland County, New York",3550,6480,27976,45648,203591
36,063,"Niagara County, New York",1400,1543,12758,21379,150726
36,031,"Essex County, New York",336,414,2641,4292,28667
36,059,"Nassau County, New York",13881,43746,137618,238168,943013
36,097,"Schuyler County, New York",216,162,970,1755,13229
36,017,"Chenango County, New York",176,216,2411,3603,34344
36,045,"Jefferson County, New York",393,840,5106,9566,71540
36,103,"Suffolk County, New York",14584,29297,127190,203594,1030842
36,121,"Wyoming County, New York",66,192,1650,3223,29033
36,075,"Oswego County, New York",477,640,5205,8881,80093
36,117,"Wayne County, New York",406,631,5069,8361,63914
36,007,"Broome County, New York",1899,2239,12426,19781,128064
08,053,"Hinsdale County, Colorado",9,21,73,218,703
36,029,"Erie County, New York",9892,14651,71990,125398,645981
36,105,"Sullivan County, New York",364,869,4704,7215,53086
36,071,"Orange County, New York",2427,3806,25111,42291,242775
37,087,"Haywood County, North Carolina",470,581,3787,7065,45802
37,067,"Forsyth County, North Carolina",4410,6018,21437,53700,251664
18,089,"Lake County, Indiana",1894,3908,19248,48938,327862
18,107,"Montgomery County, Indiana",180,161,1077,3307,26020
18,001,"Adams County, Indiana",30,78,849,2327,21240
18,041,"Fayette County, Indiana",45,66,566,1476,16222
18,021,"Clay County, Indiana",36,156,744,2168,18227
18,037,"Dubois County, Indiana",98,202,1558,4935,28618
18,047,"Franklin County, Indiana",82,72,912,2221,15546
18,059,"Hancock County, Indiana",336,489,3830,11213,51482
18,067,"Howard County, Indiana",216,519,3541,8006,56983
18,115,"Ohio County, Indiana",30,40,172,401,4379
18,121,"Parke County, Indiana",44,49,453,897,12036
18,135,"Randolph County, Indiana",125,76,814,1469,17321
18,007,"Benton County, Indiana",9,27,181,724,5845
18,013,"Brown County, Indiana",104,193,1034,1972,11431
18,133,"Putnam County, Indiana",246,255,1161,2500,24810
18,175,"Washington County, Indiana",44,138,695,1714,19329
18,027,"Daviess County, Indiana",62,117,794,1744,20565
18,065,"Henry County, Indiana",151,213,1586,3702,34362
18,083,"Knox County, Indiana",216,203,1245,2485,24510
18,095,"Madison County, Indiana",402,746,4347,11083,90080
18,125,"Pike County, Indiana",21,55,350,804,8713
18,131,"Pulaski County, Indiana",24,55,225,808,8719
18,151,"Steuben County, Indiana",207,183,1555,3223,23759
56,021,"Laramie County, Wyoming",695,1247,5195,11855,66602
56,039,"Teton County, Wyoming",328,401,2399,6747,17323
